lemma,features
gokici'babadacaga,"monkey,verb,subjunctive,habitual,future,3pp"
gokici'babafaba,"monkey,verb,subjunctive,frequentative,present,1ps"
gokici'babafaca,"monkey,verb,subjunctive,frequentative,future,1ps"
gokici'babafada,"monkey,verb,subjunctive,frequentative,past,1pp"
gokici'babafafa,"monkey,verb,subjunctive,frequentative,past,2pp"
gokici'babafaga,"monkey,verb,subjunctive,frequentative,past,3pp"
gokici'babafababa,"monkey,verb,subjunctive,frequentative,present,2ps"
gokici'babafabaca,"monkey,verb,subjunctive,frequentative,present,3ps"
gokici'babafabada,"monkey,verb,subjunctive,frequentative,present,1pp"
gokici'babafabafa,"monkey,verb,subjunctive,frequentative,present,2pp"
gokici'babafabaga,"monkey,verb,subjunctive,frequentative,present,3pp"
gokici'babafacaba,"monkey,verb,subjunctive,frequentative,future,2ps"
gokici'babafacaca,"monkey,verb,subjunctive,frequentative,future,3ps"
gokici'babafacada,"monkey,verb,subjunctive,frequentative,future,1pp"
gokici'babafacafa,"monkey,verb,subjunctive,frequentative,future,2pp"
gokici'babafacaga,"monkey,verb,subjunctive,frequentative,future,3pp"
gokici'babagaba,"monkey,verb,subjunctive,iterative,present,1ps"
gokici'babagaca,"monkey,verb,subjunctive,iterative,future,1ps"
gokici'babagada,"monkey,verb,subjunctive,iterative,past,1pp"
gokici'babagafa,"monkey,verb,subjunctive,iterative,past,2pp"
gokici'babagaga,"monkey,verb,subjunctive,iterative,past,3pp"
gokici'babagababa,"monkey,verb,subjunctive,iterative,present,2ps"
gokici'babagabaca,"monkey,verb,subjunctive,iterative,present,3ps"
gokici'babagabada,"monkey,verb,subjunctive,iterative,present,1pp"
gokici'babagabafa,"monkey,verb,subjunctive,iterative,present,2pp"
gokici'babagabaga,"monkey,verb,subjunctive,iterative,present,3pp"
gokici'babagacaba,"monkey,verb,subjunctive,iterative,future,2ps"
gokici'babagacaca,"monkey,verb,subjunctive,iterative,future,3ps"
gokici'babagacada,"monkey,verb,subjunctive,iterative,future,1pp"
gokici'babagacafa,"monkey,verb,subjunctive,iterative,future,2pp"
gokici'babagacaga,"monkey,verb,subjunctive,iterative,future,3pp"
gokici'bacabababa,"monkey,verb,imperative,imperfective,present,2ps"
gokici'bacababaca,"monkey,verb,imperative,imperfective,present,3ps"
gokici'bacababada,"monkey,verb,imperative,imperfective,present,1pp"
gokici'bacababafa,"monkey,verb,imperative,imperfective,present,2pp"
gokici'bacababaga,"monkey,verb,imperative,imperfective,present,3pp"
gokici'bacabacaba,"monkey,verb,imperative,imperfective,future,2ps"
gokici'bacabacaca,"monkey,verb,imperative,imperfective,future,3ps"
gokici'bacabacada,"monkey,verb,imperative,imperfective,future,1pp"
gokici'bacabacafa,"monkey,verb,imperative,imperfective,future,2pp"
gokici'bacabacaga,"monkey,verb,imperative,imperfective,future,3pp"
gokici'bacacababa,"monkey,verb,imperative,progressive,present,2ps"
gokici'bacacabaca,"monkey,verb,imperative,progressive,present,3ps"
gokici'bacacabada,"monkey,verb,imperative,progressive,present,1pp"
gokici'bacacabafa,"monkey,verb,imperative,progressive,present,2pp"
gokici'bacacabaga,"monkey,verb,imperative,progressive,present,3pp"
gokici'bacacacaba,"monkey,verb,imperative,progressive,future,2ps"
gokici'bacacacaca,"monkey,verb,imperative,progressive,future,3ps"
gokici'bacacacada,"monkey,verb,imperative,progressive,future,1pp"
gokici'bacacacafa,"monkey,verb,imperative,progressive,future,2pp"
gokici'bacacacaga,"monkey,verb,imperative,progressive,future,3pp"
gokici'bacadaba,"monkey,verb,imperative,habitual,present,1ps"
gokici'bacadaca,"monkey,verb,imperative,habitual,future,1ps"
gokici'bacadada,"monkey,verb,imperative,habitual,past,1pp"
gokici'bacadafa,"monkey,verb,imperative,habitual,past,2pp"
gokici'bacadaga,"monkey,verb,imperative,habitual,past,3pp"
gokici'bacadababa,"monkey,verb,imperative,habitual,present,2ps"
gokici'bacadabaca,"monkey,verb,imperative,habitual,present,3ps"
gokici'bacadabada,"monkey,verb,imperative,habitual,present,1pp"
gokici'bacadabafa,"monkey,verb,imperative,habitual,present,2pp"
gokici'bacadabaga,"monkey,verb,imperative,habitual,present,3pp"
gokici'bacadacaba,"monkey,verb,imperative,habitual,future,2ps"
gokici'bacadacaca,"monkey,verb,imperative,habitual,future,3ps"
gokici'bacadacada,"monkey,verb,imperative,habitual,future,1pp"
gokici'bacadacafa,"monkey,verb,imperative,habitual,future,2pp"
gokici'bacadacaga,"monkey,verb,imperative,habitual,future,3pp"
gokici'bacafaba,"monkey,verb,imperative,frequentative,present,1ps"
gokici'bacafaca,"monkey,verb,imperative,frequentative,future,1ps"
gokici'bacafada,"monkey,verb,imperative,frequentative,past,1pp"
gokici'bacafafa,"monkey,verb,imperative,frequentative,past,2pp"
gokici'bacafaga,"monkey,verb,imperative,frequentative,past,3pp"
gokici'bacafababa,"monkey,verb,imperative,frequentative,present,2ps"
gokici'bacafabaca,"monkey,verb,imperative,frequentative,present,3ps"
gokici'bacafabada,"monkey,verb,imperative,frequentative,present,1pp"
gokici'bacafabafa,"monkey,verb,imperative,frequentative,present,2pp"
gokici'bacafabaga,"monkey,verb,imperative,frequentative,present,3pp"
gokici'bacafacaba,"monkey,verb,imperative,frequentative,future,2ps"
gokici'bacafacaca,"monkey,verb,imperative,frequentative,future,3ps"
gokici'bacafacada,"monkey,verb,imperative,frequentative,future,1pp"
gokici'bacafacafa,"monkey,verb,imperative,frequentative,future,2pp"
gokici'bacafacaga,"monkey,verb,imperative,frequentative,future,3pp"
gokici'bacagaba,"monkey,verb,imperative,iterative,present,1ps"
gokici'bacagaca,"monkey,verb,imperative,iterative,future,1ps"
gokici'bacagada,"monkey,verb,imperative,iterative,past,1pp"
gokici'bacagafa,"monkey,verb,imperative,iterative,past,2pp"
gokici'bacagaga,"monkey,verb,imperative,iterative,past,3pp"
gokici'bacagababa,"monkey,verb,imperative,iterative,present,2ps"
gokici'bacagabaca,"monkey,verb,imperative,iterative,present,3ps"
gokici'bacagabada,"monkey,verb,imperative,iterative,present,1pp"
gokici'bacagabafa,"monkey,verb,imperative,iterative,present,2pp"
gokici'bacagabaga,"monkey,verb,imperative,iterative,present,3pp"
gokici'bacagacaba,"monkey,verb,imperative,iterative,future,2ps"
gokici'bacagacaca,"monkey,verb,imperative,iterative,future,3ps"
gokici'bacagacada,"monkey,verb,imperative,iterative,future,1pp"
gokici'bacagacafa,"monkey,verb,imperative,iterative,future,2pp"
gokici'bacagacaga,"monkey,verb,imperative,iterative,future,3pp"
gokici'badabababa,"monkey,verb,conditional,imperfective,present,2ps"
gokici'badababaca,"monkey,verb,conditional,imperfective,present,3ps"
gokici'badababada,"monkey,verb,conditional,imperfective,present,1pp"
gokici'badababafa,"monkey,verb,conditional,imperfective,present,2pp"
gokici'badababaga,"monkey,verb,conditional,imperfective,present,3pp"
gokici'badabacaba,"monkey,verb,conditional,imperfective,future,2ps"
gokici'badabacaca,"monkey,verb,conditional,imperfective,future,3ps"
gokici'badabacada,"monkey,verb,conditional,imperfective,future,1pp"
gokici'badabacafa,"monkey,verb,conditional,imperfective,future,2pp"
gokici'badabacaga,"monkey,verb,conditional,imperfective,future,3pp"
gokici'badacababa,"monkey,verb,conditional,progressive,present,2ps"
gokici'badacabaca,"monkey,verb,conditional,progressive,present,3ps"
gokici'badacabada,"monkey,verb,conditional,progressive,present,1pp"
gokici'badacabafa,"monkey,verb,conditional,progressive,present,2pp"
gokici'badacabaga,"monkey,verb,conditional,progressive,present,3pp"
gokici'badacacaba,"monkey,verb,conditional,progressive,future,2ps"
gokici'badacacaca,"monkey,verb,conditional,progressive,future,3ps"
gokici'badacacada,"monkey,verb,conditional,progressive,future,1pp"
gokici'badacacafa,"monkey,verb,conditional,progressive,future,2pp"
gokici'badacacaga,"monkey,verb,conditional,progressive,future,3pp"
gokici'badadaba,"monkey,verb,conditional,habitual,present,1ps"
gokici'badadaca,"monkey,verb,conditional,habitual,future,1ps"
gokici'badadada,"monkey,verb,conditional,habitual,past,1pp"
gokici'badadafa,"monkey,verb,conditional,habitual,past,2pp"
gokici'badadaga,"monkey,verb,conditional,habitual,past,3pp"
gokici'badadababa,"monkey,verb,conditional,habitual,present,2ps"
gokici'badadabaca,"monkey,verb,conditional,habitual,present,3ps"
gokici'badadabada,"monkey,verb,conditional,habitual,present,1pp"
gokici'badadabafa,"monkey,verb,conditional,habitual,present,2pp"
gokici'badadabaga,"monkey,verb,conditional,habitual,present,3pp"
gokici'badadacaba,"monkey,verb,conditional,habitual,future,2ps"
gokici'badadacaca,"monkey,verb,conditional,habitual,future,3ps"
gokici'badadacada,"monkey,verb,conditional,habitual,future,1pp"
gokici'badadacafa,"monkey,verb,conditional,habitual,future,2pp"
gokici'badadacaga,"monkey,verb,conditional,habitual,future,3pp"
gokici'badafaba,"monkey,verb,conditional,frequentative,present,1ps"
gokici'badafaca,"monkey,verb,conditional,frequentative,future,1ps"
gokici'badafada,"monkey,verb,conditional,frequentative,past,1pp"
gokici'badafafa,"monkey,verb,conditional,frequentative,past,2pp"
gokici'badafaga,"monkey,verb,conditional,frequentative,past,3pp"
gokici'badafababa,"monkey,verb,conditional,frequentative,present,2ps"
gokici'badafabaca,"monkey,verb,conditional,frequentative,present,3ps"
gokici'badafabada,"monkey,verb,conditional,frequentative,present,1pp"
gokici'badafabafa,"monkey,verb,conditional,frequentative,present,2pp"
gokici'badafabaga,"monkey,verb,conditional,frequentative,present,3pp"
gokici'badafacaba,"monkey,verb,conditional,frequentative,future,2ps"
gokici'badafacaca,"monkey,verb,conditional,frequentative,future,3ps"
gokici'badafacada,"monkey,verb,conditional,frequentative,future,1pp"
gokici'badafacafa,"monkey,verb,conditional,frequentative,future,2pp"
gokici'badafacaga,"monkey,verb,conditional,frequentative,future,3pp"
gokici'badagaba,"monkey,verb,conditional,iterative,present,1ps"
gokici'badagaca,"monkey,verb,conditional,iterative,future,1ps"
gokici'badagada,"monkey,verb,conditional,iterative,past,1pp"
gokici'badagafa,"monkey,verb,conditional,iterative,past,2pp"
gokici'badagaga,"monkey,verb,conditional,iterative,past,3pp"
gokici'badagababa,"monkey,verb,conditional,iterative,present,2ps"
gokici'badagabaca,"monkey,verb,conditional,iterative,present,3ps"
gokici'badagabada,"monkey,verb,conditional,iterative,present,1pp"
gokici'badagabafa,"monkey,verb,conditional,iterative,present,2pp"
gokici'badagabaga,"monkey,verb,conditional,iterative,present,3pp"
gokici'badagacaba,"monkey,verb,conditional,iterative,future,2ps"
gokici'badagacaca,"monkey,verb,conditional,iterative,future,3ps"
gokici'badagacada,"monkey,verb,conditional,iterative,future,1pp"
gokici'badagacafa,"monkey,verb,conditional,iterative,future,2pp"
gokici'badagacaga,"monkey,verb,conditional,iterative,future,3pp"
gokici'bafabababa,"monkey,verb,optative,imperfective,present,2ps"
gokici'bafababaca,"monkey,verb,optative,imperfective,present,3ps"
gokici'bafababada,"monkey,verb,optative,imperfective,present,1pp"
gokici'bafababafa,"monkey,verb,optative,imperfective,present,2pp"
gokici'bafababaga,"monkey,verb,optative,imperfective,present,3pp"
gokici'bafabacaba,"monkey,verb,optative,imperfective,future,2ps"
gokici'bafabacaca,"monkey,verb,optative,imperfective,future,3ps"
gokici'bafabacada,"monkey,verb,optative,imperfective,future,1pp"
gokici'bafabacafa,"monkey,verb,optative,imperfective,future,2pp"
gokici'bafabacaga,"monkey,verb,optative,imperfective,future,3pp"
gokici'bafacababa,"monkey,verb,optative,progressive,present,2ps"
gokici'bafacabaca,"monkey,verb,optative,progressive,present,3ps"
gokici'bafacabada,"monkey,verb,optative,progressive,present,1pp"
gokici'bafacabafa,"monkey,verb,optative,progressive,present,2pp"
gokici'bafacabaga,"monkey,verb,optative,progressive,present,3pp"
gokici'bafacacaba,"monkey,verb,optative,progressive,future,2ps"
gokici'bafacacaca,"monkey,verb,optative,progressive,future,3ps"
gokici'bafacacada,"monkey,verb,optative,progressive,future,1pp"
gokici'bafacacafa,"monkey,verb,optative,progressive,future,2pp"
gokici'bafacacaga,"monkey,verb,optative,progressive,future,3pp"
gokici'bafadaba,"monkey,verb,optative,habitual,present,1ps"
gokici'bafadaca,"monkey,verb,optative,habitual,future,1ps"
gokici'bafadada,"monkey,verb,optative,habitual,past,1pp"
gokici'bafadafa,"monkey,verb,optative,habitual,past,2pp"
gokici'bafadaga,"monkey,verb,optative,habitual,past,3pp"
gokici'bafadababa,"monkey,verb,optative,habitual,present,2ps"
gokici'bafadabaca,"monkey,verb,optative,habitual,present,3ps"
gokici'bafadabada,"monkey,verb,optative,habitual,present,1pp"
gokici'bafadabafa,"monkey,verb,optative,habitual,present,2pp"
gokici'bafadabaga,"monkey,verb,optative,habitual,present,3pp"
gokici'bafadacaba,"monkey,verb,optative,habitual,future,2ps"
gokici'bafadacaca,"monkey,verb,optative,habitual,future,3ps"
gokici'bafadacada,"monkey,verb,optative,habitual,future,1pp"
gokici'bafadacafa,"monkey,verb,optative,habitual,future,2pp"
gokici'bafadacaga,"monkey,verb,optative,habitual,future,3pp"
gokici'bafafaba,"monkey,verb,optative,frequentative,present,1ps"
gokici'bafafaca,"monkey,verb,optative,frequentative,future,1ps"
gokici'bafafada,"monkey,verb,optative,frequentative,past,1pp"
gokici'bafafafa,"monkey,verb,optative,frequentative,past,2pp"
gokici'bafafaga,"monkey,verb,optative,frequentative,past,3pp"
gokici'bafafababa,"monkey,verb,optative,frequentative,present,2ps"
gokici'bafafabaca,"monkey,verb,optative,frequentative,present,3ps"
gokici'bafafabada,"monkey,verb,optative,frequentative,present,1pp"
gokici'bafafabafa,"monkey,verb,optative,frequentative,present,2pp"
gokici'bafafabaga,"monkey,verb,optative,frequentative,present,3pp"
gokici'bafafacaba,"monkey,verb,optative,frequentative,future,2ps"
gokici'bafafacaca,"monkey,verb,optative,frequentative,future,3ps"
gokici'bafafacada,"monkey,verb,optative,frequentative,future,1pp"
gokici'bafafacafa,"monkey,verb,optative,frequentative,future,2pp"
gokici'bafafacaga,"monkey,verb,optative,frequentative,future,3pp"
gokici'bafagaba,"monkey,verb,optative,iterative,present,1ps"
gokici'bafagaca,"monkey,verb,optative,iterative,future,1ps"
gokici'bafagada,"monkey,verb,optative,iterative,past,1pp"
gokici'bafagafa,"monkey,verb,optative,iterative,past,2pp"
gokici'bafagaga,"monkey,verb,optative,iterative,past,3pp"
gokici'bafagababa,"monkey,verb,optative,iterative,present,2ps"
gokici'bafagabaca,"monkey,verb,optative,iterative,present,3ps"
gokici'bafagabada,"monkey,verb,optative,iterative,present,1pp"
gokici'bafagabafa,"monkey,verb,optative,iterative,present,2pp"
gokici'bafagabaga,"monkey,verb,optative,iterative,present,3pp"
gokici'bafagacaba,"monkey,verb,optative,iterative,future,2ps"
gokici'bafagacaca,"monkey,verb,optative,iterative,future,3ps"
gokici'bafagacada,"monkey,verb,optative,iterative,future,1pp"
gokici'bafagacafa,"monkey,verb,optative,iterative,future,2pp"
gokici'bafagacaga,"monkey,verb,optative,iterative,future,3pp"
gokici'bagabababa,"monkey,verb,jussive,imperfective,present,2ps"
gokici'bagababaca,"monkey,verb,jussive,imperfective,present,3ps"
gokici'bagababada,"monkey,verb,jussive,imperfective,present,1pp"
gokici'bagababafa,"monkey,verb,jussive,imperfective,present,2pp"
gokici'bagababaga,"monkey,verb,jussive,imperfective,present,3pp"
gokici'bagabacaba,"monkey,verb,jussive,imperfective,future,2ps"
gokici'bagabacaca,"monkey,verb,jussive,imperfective,future,3ps"
gokici'bagabacada,"monkey,verb,jussive,imperfective,future,1pp"
gokici'bagabacafa,"monkey,verb,jussive,imperfective,future,2pp"
gokici'bagabacaga,"monkey,verb,jussive,imperfective,future,3pp"
gokici'bagacababa,"monkey,verb,jussive,progressive,present,2ps"
gokici'bagacabaca,"monkey,verb,jussive,progressive,present,3ps"
gokici'bagacabada,"monkey,verb,jussive,progressive,present,1pp"
gokici'bagacabafa,"monkey,verb,jussive,progressive,present,2pp"
gokici'bagacabaga,"monkey,verb,jussive,progressive,present,3pp"
gokici'bagacacaba,"monkey,verb,jussive,progressive,future,2ps"
gokici'bagacacaca,"monkey,verb,jussive,progressive,future,3ps"
gokici'bagacacada,"monkey,verb,jussive,progressive,future,1pp"
gokici'bagacacafa,"monkey,verb,jussive,progressive,future,2pp"
gokici'bagacacaga,"monkey,verb,jussive,progressive,future,3pp"
gokici'bagadaba,"monkey,verb,jussive,habitual,present,1ps"
gokici'bagadaca,"monkey,verb,jussive,habitual,future,1ps"
gokici'bagadada,"monkey,verb,jussive,habitual,past,1pp"
gokici'bagadafa,"monkey,verb,jussive,habitual,past,2pp"
gokici'bagadaga,"monkey,verb,jussive,habitual,past,3pp"
gokici'bagadababa,"monkey,verb,jussive,habitual,present,2ps"
gokici'bagadabaca,"monkey,verb,jussive,habitual,present,3ps"
gokici'bagadabada,"monkey,verb,jussive,habitual,present,1pp"
gokici'bagadabafa,"monkey,verb,jussive,habitual,present,2pp"
gokici'bagadabaga,"monkey,verb,jussive,habitual,present,3pp"
gokici'bagadacaba,"monkey,verb,jussive,habitual,future,2ps"
gokici'bagadacaca,"monkey,verb,jussive,habitual,future,3ps"
gokici'bagadacada,"monkey,verb,jussive,habitual,future,1pp"
gokici'bagadacafa,"monkey,verb,jussive,habitual,future,2pp"
gokici'bagadacaga,"monkey,verb,jussive,habitual,future,3pp"
gokici'bagafaba,"monkey,verb,jussive,frequentative,present,1ps"
gokici'bagafaca,"monkey,verb,jussive,frequentative,future,1ps"
gokici'bagafada,"monkey,verb,jussive,frequentative,past,1pp"
gokici'bagafafa,"monkey,verb,jussive,frequentative,past,2pp"
gokici'bagafaga,"monkey,verb,jussive,frequentative,past,3pp"
gokici'bagafababa,"monkey,verb,jussive,frequentative,present,2ps"
gokici'bagafabaca,"monkey,verb,jussive,frequentative,present,3ps"
gokici'bagafabada,"monkey,verb,jussive,frequentative,present,1pp"
gokici'bagafabafa,"monkey,verb,jussive,frequentative,present,2pp"
gokici'bagafabaga,"monkey,verb,jussive,frequentative,present,3pp"
gokici'bagafacaba,"monkey,verb,jussive,frequentative,future,2ps"
gokici'bagafacaca,"monkey,verb,jussive,frequentative,future,3ps"
gokici'bagafacada,"monkey,verb,jussive,frequentative,future,1pp"
gokici'bagafacafa,"monkey,verb,jussive,frequentative,future,2pp"
gokici'bagafacaga,"monkey,verb,jussive,frequentative,future,3pp"
gokici'bagagaba,"monkey,verb,jussive,iterative,present,1ps"
gokici'bagagaca,"monkey,verb,jussive,iterative,future,1ps"
gokici'bagagada,"monkey,verb,jussive,iterative,past,1pp"
gokici'bagagafa,"monkey,verb,jussive,iterative,past,2pp"
gokici'bagagaga,"monkey,verb,jussive,iterative,past,3pp"
gokici'bagagababa,"monkey,verb,jussive,iterative,present,2ps"
gokici'bagagabaca,"monkey,verb,jussive,iterative,present,3ps"
gokici'bagagabada,"monkey,verb,jussive,iterative,present,1pp"
gokici'bagagabafa,"monkey,verb,jussive,iterative,present,2pp"
gokici'bagagabaga,"monkey,verb,jussive,iterative,present,3pp"
gokici'bagagacaba,"monkey,verb,jussive,iterative,future,2ps"
gokici'bagagacaca,"monkey,verb,jussive,iterative,future,3ps"
gokici'bagagacada,"monkey,verb,jussive,iterative,future,1pp"
gokici'bagagacafa,"monkey,verb,jussive,iterative,future,2pp"
gokici'bagagacaga,"monkey,verb,jussive,iterative,future,3pp"
gokici'baha,"monkey,verb,interrogative,perfective,past,1ps"
gokici'bahaba,"monkey,verb,interrogative,imperfective,past,1ps"
gokici'bahaca,"monkey,verb,interrogative,progressive,past,1ps"
gokici'bahada,"monkey,verb,interrogative,habitual,past,1ps"
gokici'bahafa,"monkey,verb,interrogative,frequentative,past,1ps"
gokici'bahaga,"monkey,verb,interrogative,iterative,past,1ps"
gokici'bahababa,"monkey,verb,interrogative,imperfective,present,1ps"
gokici'bahabaca,"monkey,verb,interrogative,imperfective,future,1ps"
gokici'bahabada,"monkey,verb,interrogative,imperfective,past,1pp"
gokici'bahabafa,"monkey,verb,interrogative,imperfective,past,2pp"
gokici'bahabaga,"monkey,verb,interrogative,imperfective,past,3pp"
gokici'bahacaba,"monkey,verb,interrogative,progressive,present,1ps"
